# Russian noun declension paradigms (hold-popup groups).
# Generated by scripts/paradigms.py from the lexicon's lemmas via
# mawo-pymorphy3 (OpenCorpora 2025 dicts, CC BY-SA 3.0).
# lemma<TAB>number<TAB>nomn|gent|datv|accs|ablt|loct  (empty = no form)
агос	sing	агос|агоса|агосу|агос|агосом|агосе
агрессия	plur	агрессии|агрессий|агрессиям|агрессии|агрессиями|агрессиях
агрессия	sing	агрессия|агрессии|агрессии|агрессию|агрессией|агрессии
ад	sing	ад|ада|аду|ад|адом|аде
адам	plur	адамы|адамов|адамам|адамов|адамами|адамах
адам	sing	адам|адама|адаму|адама|адамом|адаме
адамс	plur	адамсы|адамсов|адамсам|адамсов|адамсами|адамсах
адамс	sing	адамс|адамса|адамсу|адамса|адамсом|адамсе
адаптация	plur	адаптации|адаптаций|адаптациям|адаптации|адаптациями|адаптациях
адаптация	sing	адаптация|адаптации|адаптации|адаптацию|адаптацией|адаптации
адвокат	plur	адвокаты|адвокатов|адвокатам|адвокатов|адвокатами|адвокатах
адвокат	sing	адвокат|адвоката|адвокату|адвоката|адвокатом|адвокате
аделаида	plur	аделаиды|аделаид|аделаидам|аделаид|аделаидами|аделаидах
аделаида	sing	аделаида|аделаиды|аделаиде|аделаиду|аделаидой|аделаиде
аделин	plur	аделины|аделиных|аделиным|аделиных|аделиными|аделиных
аделин	sing	аделин|аделина|аделину|аделина|аделиным|аделине
адель	sing	адель|адель|адель|адель|адель|адель
ади	sing	ади|ади|ади|ади|ади|ади
адлер	plur	адлеры|адлеров|адлерам|адлеры|адлерами|адлерах
адлер	sing	адлер|адлера|адлеру|адлер|адлером|адлере
администратор	plur	администраторы|администраторов|администраторам|администраторов|администраторами|администраторах
администратор	sing	администратор|администратора|администратору|администратора|администратором|администраторе
администрация	plur	администрации|администраций|администрациям|администрации|администрациями|администрациях
администрация	sing	администрация|администрации|администрации|администрацию|администрацией|администрации
адмирал	plur	адмиралы|адмиралов|адмиралам|адмиралов|адмиралами|адмиралах
адмирал	sing	адмирал|адмирала|адмиралу|адмирала|адмиралом|адмирале
адольф	plur	адольфы|адольфов|адольфам|адольфов|адольфами|адольфах
адольф	sing	адольф|адольфа|адольфу|адольфа|адольфом|адольфе
адреналин	plur	адреналины|адреналинов|адреналинам|адреналины|адреналинами|адреналинах
адреналин	sing	адреналин|адреналина|адреналину|адреналин|адреналином|адреналине
адрес	plur	адреса|адресов|адресам|адреса|адресами|адресах
адрес	sing	адрес|адреса|адресу|адрес|адресом|адресе
адриан	plur	адрианы|адрианов|адрианам|адрианов|адрианами|адрианах
адриан	sing	адриан|адриана|адриану|адриана|адрианом|адриане
адриана	plur	адрианы|адриан|адрианам|адриан|адрианами|адрианах
адриана	sing	адриана|адрианы|адриане|адриану|адрианой|адриане
адрианна	plur	адрианны|адрианн|адрианнам|адрианн|адрианнами|адрианнах
адрианна	sing	адрианна|адрианны|адрианне|адрианну|адрианной|адрианне
ажетс	sing	ажетс|ажетс|ажетс|ажетс|ажетс|ажетс
аз	plur	азы|азов|азам|азы|азами|азах
аз	sing	аз|аза|азу|аз|азом|азе
азарт	plur	азарты|азартов|азартам|азарты|азартами|азартах
азарт	sing	азарт|азарта|азарту|азарт|азартом|азарте
азва	plur	азва|азва|азва|азва|азва|азва
азва	sing	азва|азва|азва|азва|азва|азва
азиат	plur	азиаты|азиатов|азиатам|азиатов|азиатами|азиатах
азиат	sing	азиат|азиата|азиату|азиата|азиатом|азиате
азиз	plur	азизы|азизов|азизам|азизов|азизами|азизах
азиз	sing	азиз|азиза|азизу|азиза|азизом|азизе
азия	sing	азия|азии|азии|азию|азией|азии
азот	plur	азоты|азотов|азотам|азоты|азотами|азотах
азот	sing	азот|азота|азоту|азот|азотом|азоте
аида	plur	аиды|аид|аидам|аид|аидами|аидах
аида	sing	аида|аиды|аиде|аиду|аидой|аиде
аиша	plur	аиши|аиш|аишам|аиш|аишами|аишах
аиша	sing	аиша|аиши|аише|аишу|аишей|аише
айвено	plur	айвенья|айвеньев|айвеньям|айвенья|айвеньями|айвеньях
айвено	sing	айвено|айвена|айвену|айвено|айвеном|айвене
айга	sing	айга|айги|айге|айгу|айгой|айге
айдахо	plur	айдахо|айдахо|айдахо|айдахо|айдахо|айдахо
айдахо	sing	айдахо|айдахо|айдахо|айдахо|айдахо|айдахо
айзек	plur	айзеки|айзеков|айзекам|айзеки|айзеками|айзеках
айзек	sing	айзек|айзека|айзеку|айзек|айзеком|айзеке
айк	plur	айки|айков|айкам|айков|айками|айках
айк	sing	айк|айка|айку|айка|айком|айке
айлин	plur	айлины|айлинов|айлинам|айлинов|айлинами|айлинах
айлин	sing	айлин|айлина|айлину|айлина|айлином|айлине
айова	sing	айова|айовы|айове|айову|айовой|айове
айра	sing	айра|айры|айре|айру|айрой|айре
айрин	plur	айрины|айриных|айриным|айриных|айриными|айриных
айрин	sing	айрин|айрина|айрину|айрина|айриным|айрине
айрис	plur	айрис|айрис|айрис|айрис|айрис|айрис
айрис	sing	айрис|айрис|айрис|айрис|айрис|айрис
айртон	plur	айртоны|айртонов|айртонам|айртоны|айртонами|айртонах
айртон	sing	айртон|айртона|айртону|айртон|айртоном|айртоне
айса	plur	айсы|айс|айсам|айс|айсами|айсах
айса	sing	айса|айсы|айсе|айсу|айсой|айсе
айсберг	plur	айсберги|айсбергов|айсбергам|айсберги|айсбергами|айсбергах
айсберг	sing	айсберг|айсберга|айсбергу|айсберг|айсбергом|айсберге
айя	plur	айи|ай|айям|ай|айями|айях
айя	sing	айя|айи|айе|айю|айей|айе
ака	sing	ака|аки|аке|аку|акой|аке
академия	plur	академии|академий|академиям|академии|академиями|академиях
академия	sing	академия|академии|академии|академию|академией|академии
акбар	plur	акбары|акбаров|акбарам|акбаров|акбарами|акбарах
акбар	sing	акбар|акбара|акбару|акбара|акбаром|акбаре
